Tiempo;Pandora mm (637km2);Banano mm (90km2);Tiempo,Pandora mm (637km2),Banano mm (90km2)
9/29/1974;3.28;9.89;9/29/1974,3.28,9.89
9/30/1974;3.35;10.27;9/30/1974,3.35,10.27
10/01/1974;3.99;9.60;10/1/1974,3.99,9.60
10/02/1974;3.35;13.25;10/2/1974,3.35,13.25
10/03/1974;4.53;10.27;10/3/1974,4.53,10.27
10/04/1974;4.27;11.52;10/4/1974,4.27,11.52
10/05/1974;3.26;10.27;10/5/1974,3.26,10.27
10/06/1974;2.83;12.10;10/6/1974,2.83,12.10
10/07/1974;2.46;9.89;10/7/1974,2.46,9.89
10/08/1974;2.67;8.93;10/8/1974,2.67,8.93
10/09/1974;2.97;8.19;10/9/1974,2.97,8.19
10/10/1974;3.08;7.74;10/10/1974,3.08,7.74
10/11/1974;4.48;7.41;10/11/1974,4.48,7.41
10/12/1974;3.01;7.22;10/12/1974,3.01,7.22
10/13/1974;2.75;7.06;10/13/1974,2.75,7.06
10/14/1974;2.70;6.78;10/14/1974,2.70,6.78
10/15/1974;2.70;8.68;10/15/1974,2.70,8.68
10/16/1974;3.42;13.15;10/16/1974,3.42,13.15
10/17/1974;5.87;10.37;10/17/1974,5.87,10.37
10/18/1974;4.11;9.09;10/18/1974,4.11,9.09
10/19/1974;7.85;10.27;10/19/1974,7.85,10.27
10/20/1974;8.76;10.46;10/20/1974,8.76,10.46
10/21/1974;5.29;8.81;10/21/1974,5.29,8.81
10/22/1974;4.52;9.89;10/22/1974,4.52,9.89
10/23/1974;4.54;8.70;10/23/1974,4.54,8.70
10/24/1974;5.17;9.08;10/24/1974,5.17,9.08
10/25/1974;4.90;9.98;10/25/1974,4.90,9.98
10/26/1974;8.86;10.46;10/26/1974,8.86,10.46
10/27/1974;7.03;9.39;10/27/1974,7.03,9.39
10/28/1974;5.56;8.81;10/28/1974,5.56,8.81
10/29/1974;5.82;8.91;10/29/1974,5.82,8.91
10/30/1974;5.25;10.18;10/30/1974,5.25,10.18
10/31/1974;4.63;10.66;10/31/1974,4.63,10.66
11/01/1974;4.77;12.86;11/1/1974,4.77,12.86
11/02/1974;4.87;17.47;11/2/1974,4.87,17.47
11/03/1974;5.55;18.14;11/3/1974,5.55,18.14
11/04/1974;7.34;19.10;11/4/1974,7.34,19.10
11/05/1974;4.64;12.29;11/5/1974,4.64,12.29
11/06/1974;3.78;36.38;11/6/1974,3.78,36.38
11/07/1974;3.57;16.51;11/7/1974,3.57,16.51
11/08/1974;3.42;13.92;11/8/1974,3.42,13.92
11/09/1974;3.57;14.59;11/9/1974,3.57,14.59
11/10/1974;3.77;13.44;11/10/1974,3.77,13.44
11/11/1974;3.21;11.62;11/11/1974,3.21,11.62
11/12/1974;2.96;10.37;11/12/1974,2.96,10.37
11/13/1974;2.89;9.30;11/13/1974,2.89,9.30
11/14/1974;2.63;8.72;11/14/1974,2.63,8.72
11/15/1974;2.46;8.43;11/15/1974,2.46,8.43
11/16/1974;3.11;10.75;11/16/1974,3.11,10.75
11/17/1974;3.15;9.14;11/17/1974,3.15,9.14
11/18/1974;3.01;10.56;11/18/1974,3.01,10.56
11/19/1974;2.96;9.43;11/19/1974,2.96,9.43
11/20/1974;2.51;8.76;11/20/1974,2.51,8.76
11/21/1974;2.28;8.64;11/21/1974,2.28,8.64
11/22/1974;2.10;8.90;11/22/1974,2.10,8.90
11/23/1974;2.10;8.61;11/23/1974,2.10,8.61
11/24/1974;2.05;9.12;11/24/1974,2.05,9.12
11/25/1974;1.99;8.04;11/25/1974,1.99,8.04
11/26/1974;2.96;22.85;11/26/1974,2.96,22.85
11/27/1974;9.01;75.84;11/27/1974,9.01,75.84
11/28/1974;29.70;79.01;11/28/1974,29.70,79.01
11/29/1974;14.11;31.20;11/29/1974,14.11,31.20
11/30/1974;7.77;20.54;11/30/1974,7.77,20.54
12/01/1974;6.62;17.38;12/1/1974,6.62,17.38
12/02/1974;7.74;23.23;12/2/1974,7.74,23.23
12/03/1974;9.43;39.36;12/3/1974,9.43,39.36
12/04/1974;42.86;119.04;12/4/1974,42.86,119.04
12/05/1974;45.44;88.51;12/5/1974,45.44,88.51
12/06/1974;21.57;42.34;12/6/1974,21.57,42.34
12/07/1974;12.02;20.26;12/7/1974,12.02,20.26
12/08/1974;8.29;16.70;12/8/1974,8.29,16.70
12/09/1974;6.47;15.26;12/9/1974,6.47,15.26
12/10/1974;5.09;14.02;12/10/1974,5.09,14.02
12/11/1974;4.33;12.86;12/11/1974,4.33,12.86
12/12/1974;3.69;11.71;12/12/1974,3.69,11.71
12/13/1974;3.34;10.37;12/13/1974,3.34,10.37
12/14/1974;2.96;9.31;12/14/1974,2.96,9.31
12/15/1974;2.51;8.98;12/15/1974,2.51,8.98
12/16/1974;2.46;8.51;12/16/1974,2.46,8.51
12/17/1974;2.28;8.01;12/17/1974,2.28,8.01
12/18/1974;2.10;7.64;12/18/1974,2.10,7.64
12/19/1974;1.94;7.30;12/19/1974,1.94,7.30
12/20/1974;1.83;7.01;12/20/1974,1.83,7.01
12/21/1974;1.78;6.74;12/21/1974,1.78,6.74
12/22/1974;1.72;7.41;12/22/1974,1.72,7.41
12/23/1974;1.67;7.08;12/23/1974,1.67,7.08
12/24/1974;1.63;7.12;12/24/1974,1.63,7.12
12/25/1974;1.83;9.26;12/25/1974,1.83,9.26
12/26/1974;1.94;7.65;12/26/1974,1.94,7.65
12/27/1974;1.67;6.74;12/27/1974,1.67,6.74
12/28/1974;1.46;6.40;12/28/1974,1.46,6.40
12/29/1974;1.51;6.43;12/29/1974,1.51,6.43
12/30/1974;1.51;6.03;12/30/1974,1.51,6.03
12/31/1974;1.42;6.12;12/31/1974,1.42,6.12
01/01/1975;1.55;6.27;1/1/1975,1.55,6.27
01/02/1975;1.42;5.80;1/2/1975,1.42,5.80
01/03/1975;1.34;5.66;1/3/1975,1.34,5.66
01/04/1975;1.31;5.53;1/4/1975,1.31,5.53
01/05/1975;1.31;6.23;1/5/1975,1.31,6.23
01/06/1975;1.46;6.57;1/6/1975,1.46,6.57
01/07/1975;1.63;6.13;1/7/1975,1.63,6.13
01/08/1975;1.51;5.09;1/8/1975,1.51,5.09
01/09/1975;1.42;4.70;1/9/1975,1.42,4.70
01/10/1975;1.42;4.56;1/10/1975,1.42,4.56
01/11/1975;1.37;4.35;1/11/1975,1.37,4.35
01/12/1975;1.37;4.24;1/12/1975,1.37,4.24
1/13/1975;1.37;4.90;1/13/1975,1.37,4.90
1/14/1975;1.37;5.81;1/14/1975,1.37,5.81
1/15/1975;1.34;5.74;1/15/1975,1.34,5.74
1/16/1975;1.31;5.71;1/16/1975,1.31,5.71
1/17/1975;3.31;14.11;1/17/1975,3.31,14.11
1/18/1975;9.90;39.26;1/18/1975,9.90,39.26
1/19/1975;7.77;14.02;1/19/1975,7.77,14.02
1/20/1975;3.62;10.37;1/20/1975,3.62,10.37
1/21/1975;3.30;8.54;1/21/1975,3.30,8.54
1/22/1975;6.54;14.59;1/22/1975,6.54,14.59
1/23/1975;6.70;10.85;1/23/1975,6.70,10.85
1/24/1975;6.51;18.05;1/24/1975,6.51,18.05
1/25/1975;6.73;14.59;1/25/1975,6.73,14.59
1/26/1975;4.18;11.62;1/26/1975,4.18,11.62
1/27/1975;3.08;10.27;1/27/1975,3.08,10.27
1/28/1975;2.70;9.35;1/28/1975,2.70,9.35
1/29/1975;2.39;9.59;1/29/1975,2.39,9.59
1/30/1975;2.82;12.10;1/30/1975,2.82,12.10
1/31/1975;20.07;45.31;1/31/1975,20.07,45.31
02/01/1975;26.18;57.02;2/1/1975,26.18,57.02
02/02/1975;7.79;22.75;2/2/1975,7.79,22.75
02/03/1975;6.27;17.18;2/3/1975,6.27,17.18
02/04/1975;5.15;14.78;2/4/1975,5.15,14.78
02/05/1975;4.45;12.96;2/5/1975,4.45,12.96
02/06/1975;4.79;11.42;2/6/1975,4.79,11.42
02/07/1975;4.84;10.37;2/7/1975,4.84,10.37
02/08/1975;4.35;9.30;2/8/1975,4.35,9.30
02/09/1975;2.82;8.29;2/9/1975,2.82,8.29
02/10/1975;2.58;7.44;2/10/1975,2.58,7.44
02/11/1975;2.51;6.88;2/11/1975,2.51,6.88
02/12/1975;2.28;6.60;2/12/1975,2.28,6.60
2/13/1975;2.05;6.34;2/13/1975,2.05,6.34
2/14/1975;1.94;6.07;2/14/1975,1.94,6.07
2/15/1975;1.83;5.80;2/15/1975,1.83,5.80
2/16/1975;1.72;5.66;2/16/1975,1.72,5.66
2/17/1975;1.63;5.66;2/17/1975,1.63,5.66
2/18/1975;1.55;5.75;2/18/1975,1.55,5.75
2/19/1975;1.63;5.47;2/19/1975,1.63,5.47
2/20/1975;1.67;5.47;2/20/1975,1.67,5.47
2/21/1975;1.59;5.27;2/21/1975,1.59,5.27
2/22/1975;1.51;5.15;2/22/1975,1.51,5.15
2/23/1975;1.46;5.15;2/23/1975,1.46,5.15
2/24/1975;1.51;6.58;2/24/1975,1.51,6.58
2/25/1975;1.55;6.52;2/25/1975,1.55,6.52
2/26/1975;1.67;6.58;2/26/1975,1.67,6.58
2/27/1975;1.59;6.07;2/27/1975,1.59,6.07
2/28/1975;1.42;5.40;2/28/1975,1.42,5.40
03/01/1975;1.37;4.51;3/1/1975,1.37,4.51
03/02/1975;1.55;4.46;3/2/1975,1.55,4.46
03/03/1975;1.46;4.40;3/3/1975,1.46,4.40
03/04/1975;1.42;4.19;3/4/1975,1.42,4.19
03/05/1975;1.34;4.13;3/5/1975,1.34,4.13
03/06/1975;1.31;3.94;3/6/1975,1.31,3.94
03/07/1975;1.52;4.75;3/7/1975,1.52,4.75
03/08/1975;1.34;3.94;3/8/1975,1.34,3.94
03/09/1975;1.31;3.94;3/9/1975,1.31,3.94
03/10/1975;1.34;4.03;3/10/1975,1.34,4.03
03/11/1975;1.42;4.94;3/11/1975,1.42,4.94
03/12/1975;2.54;5.57;3/12/1975,2.54,5.57
3/13/1975;1.72;5.52;3/13/1975,1.72,5.52
3/14/1975;1.99;7.29;3/14/1975,1.99,7.29
3/15/1975;2.31;4.75;3/15/1975,2.31,4.75
3/16/1975;1.59;4.42;3/16/1975,1.59,4.42
3/17/1975;1.40;4.08;3/17/1975,1.40,4.08
3/18/1975;1.34;3.94;3/18/1975,1.34,3.94
3/19/1975;1.31;3.89;3/19/1975,1.31,3.89
3/20/1975;1.28;3.79;3/20/1975,1.28,3.79
3/21/1975;1.34;3.94;3/21/1975,1.34,3.94
3/22/1975;1.28;3.79;3/22/1975,1.28,3.79
3/23/1975;1.20;3.63;3/23/1975,1.20,3.63
3/24/1975;1.14;3.46;3/24/1975,1.14,3.46
3/25/1975;1.11;3.41;3/25/1975,1.11,3.41
3/26/1975;1.09;3.36;3/26/1975,1.09,3.36
3/27/1975;1.31;3.89;3/27/1975,1.31,3.89
3/28/1975;3.47;9.70;3/28/1975,3.47,9.70
3/29/1975;2.74;6.09;3/29/1975,2.74,6.09
3/30/1975;2.05;5.74;3/30/1975,2.05,5.74
3/31/1975;1.59;4.42;3/31/1975,1.59,4.42
04/01/1975;1.46;4.22;4/1/1975,1.46,4.22
04/02/1975;1.40;4.08;4/2/1975,1.40,4.08
04/03/1975;1.52;4.42;4/3/1975,1.52,4.42
04/04/1975;1.42;4.13;4/4/1975,1.42,4.13
04/05/1975;1.42;4.13;4/5/1975,1.42,4.13
04/06/1975;1.37;4.63;4/6/1975,1.37,4.63
04/07/1975;1.25;3.74;4/7/1975,1.25,3.74
04/08/1975;1.20;3.65;4/8/1975,1.20,3.65
04/09/1975;1.14;3.44;4/9/1975,1.14,3.44
04/10/1975;1.40;3.74;4/10/1975,1.40,3.74
04/11/1975;1.51;4.27;4/11/1975,1.51,4.27
04/12/1975;1.25;3.48;4/12/1975,1.25,3.48
4/13/1975;1.14;3.36;4/13/1975,1.14,3.36
4/14/1975;1.09;3.26;4/14/1975,1.09,3.26
4/15/1975;1.14;3.28;4/15/1975,1.14,3.28
4/16/1975;1.14;3.24;4/16/1975,1.14,3.24
4/17/1975;1.09;3.17;4/17/1975,1.09,3.17
4/18/1975;1.11;4.05;4/18/1975,1.11,4.05
4/19/1975;1.20;4.05;4/19/1975,1.20,4.05
4/20/1975;1.17;4.11;4/20/1975,1.17,4.11
4/21/1975;2.28;12.86;4/21/1975,2.28,12.86
4/22/1975;2.12;10.75;4/22/1975,2.12,10.75
4/23/1975;4.30;10.56;4/23/1975,4.30,10.56
4/24/1975;2.17;8.44;4/24/1975,2.17,8.44
4/25/1975;2.12;7.68;4/25/1975,2.12,7.68
4/26/1975;1.38;9.51;4/26/1975,1.38,9.51
4/27/1975;1.63;12.67;4/27/1975,1.63,12.67
4/28/1975;2.22;9.70;4/28/1975,2.22,9.70
4/29/1975;1.67;8.05;4/29/1975,1.67,8.05
4/30/1975;1.44;8.36;4/30/1975,1.44,8.36
05/01/1975;1.34;8.52;5/1/1975,1.34,8.52
05/02/1975;1.40;10.94;5/2/1975,1.40,10.94
05/03/1975;1.83;9.60;5/3/1975,1.83,9.60
05/04/1975;1.57;9.79;5/4/1975,1.57,9.79
05/05/1975;1.72;13.15;5/5/1975,1.72,13.15
05/06/1975;1.83;16.22;5/6/1975,1.83,16.22
05/07/1975;1.89;16.13;5/7/1975,1.89,16.13
05/08/1975;1.67;11.14;5/8/1975,1.67,11.14
05/09/1975;1.57;10.56;5/9/1975,1.57,10.56
05/10/1975;1.51;9.30;5/10/1975,1.51,9.30
05/11/1975;1.40;12.38;5/11/1975,1.40,12.38
05/12/1975;1.42;11.71;5/12/1975,1.42,11.71
5/13/1975;1.46;10.18;5/13/1975,1.46,10.18
5/14/1975;1.51;9.01;5/14/1975,1.51,9.01
5/15/1975;1.31;9.79;5/15/1975,1.31,9.79
5/16/1975;1.42;9.60;5/16/1975,1.42,9.60
5/17/1975;1.34;8.72;5/17/1975,1.34,8.72
5/18/1975;1.28;8.14;5/18/1975,1.28,8.14
5/19/1975;1.22;7.30;5/19/1975,1.22,7.30
5/20/1975;1.22;7.75;5/20/1975,1.22,7.75
5/21/1975;1.37;7.30;5/21/1975,1.37,7.30
5/22/1975;2.75;7.12;5/22/1975,2.75,7.12
5/23/1975;1.99;6.86;5/23/1975,1.99,6.86
5/24/1975;2.33;6.86;5/24/1975,2.33,6.86
5/25/1975;1.63;10.94;5/25/1975,1.63,10.94
5/26/1975;2.64;9.60;5/26/1975,2.64,9.60
5/27/1975;1.83;10.46;5/27/1975,1.83,10.46
5/28/1975;1.78;9.70;5/28/1975,1.78,9.70
5/29/1975;1.46;9.70;5/29/1975,1.46,9.70
5/30/1975;1.61;28.61;5/30/1975,1.61,28.61
5/31/1975;3.54;17.38;5/31/1975,3.54,17.38
06/01/1975;2.43;20.45;6/1/1975,2.43,20.45
06/02/1975;3.73;22.46;6/2/1975,3.73,22.46
06/03/1975;3.76;16.32;6/3/1975,3.76,16.32
06/04/1975;2.39;13.44;6/4/1975,2.39,13.44
06/05/1975;2.83;12.96;6/5/1975,2.83,12.96
06/06/1975;2.46;12.00;6/6/1975,2.46,12.00
06/07/1975;1.89;11.33;6/7/1975,1.89,11.33
06/08/1975;1.63;10.85;6/8/1975,1.63,10.85
06/09/1975;1.46;10.18;6/9/1975,1.46,10.18
06/10/1975;1.40;11.42;6/10/1975,1.40,11.42
06/11/1975;14.11;35.90;6/11/1975,14.11,35.90
06/12/1975;10.54;20.26;6/12/1975,10.54,20.26
6/13/1975;6.58;16.99;6/13/1975,6.58,16.99
6/14/1975;10.12;15.26;6/14/1975,10.12,15.26
6/15/1975;7.12;15.46;6/15/1975,7.12,15.46
6/16/1975;5.21;12.38;6/16/1975,5.21,12.38
6/17/1975;3.93;10.85;6/17/1975,3.93,10.85
6/18/1975;3.08;9.89;6/18/1975,3.08,9.89
6/19/1975;2.63;9.30;6/19/1975,2.63,9.30
6/20/1975;2.46;9.42;6/20/1975,2.46,9.42
6/21/1975;2.56;9.98;6/21/1975,2.56,9.98
6/22/1975;3.07;9.98;6/22/1975,3.07,9.98
6/23/1975;3.28;9.89;6/23/1975,3.28,9.89
6/24/1975;5.02;16.03;6/24/1975,5.02,16.03
6/25/1975;4.46;12.67;6/25/1975,4.46,12.67
6/26/1975;3.85;10.85;6/26/1975,3.85,10.85
6/27/1975;9.20;16.70;6/27/1975,9.20,16.70
6/28/1975;7.26;16.90;6/28/1975,7.26,16.90
6/29/1975;11.16;25.25;6/29/1975,11.16,25.25
6/30/1975;12.78;43.58;6/30/1975,12.78,43.58
07/01/1975;6.89;20.06;7/1/1975,6.89,20.06
07/02/1975;4.77;16.22;7/2/1975,4.77,16.22
07/03/1975;7.24;13.44;7/3/1975,7.24,13.44
07/04/1975;10.43;13.54;7/4/1975,10.43,13.54
07/05/1975;6.42;16.03;7/5/1975,6.42,16.03
07/06/1975;5.56;12.38;7/6/1975,5.56,12.38
07/07/1975;5.21;13.92;7/7/1975,5.21,13.92
07/08/1975;4.38;11.42;7/8/1975,4.38,11.42
07/09/1975;5.11;27.26;7/9/1975,5.11,27.26
07/10/1975;3.93;14.59;7/10/1975,3.93,14.59
07/11/1975;6.25;14.59;7/11/1975,6.25,14.59
07/12/1975;7.96;20.35;7/12/1975,7.96,20.35
7/13/1975;7.57;15.94;7/13/1975,7.57,15.94
7/14/1975;7.18;13.34;7/14/1975,7.18,13.34
7/15/1975;8.34;19.97;7/15/1975,8.34,19.97
7/16/1975;9.83;15.94;7/16/1975,9.83,15.94
7/17/1975;5.03;12.86;7/17/1975,5.03,12.86
7/18/1975;5.66;13.92;7/18/1975,5.66,13.92
7/19/1975;4.69;12.00;7/19/1975,4.69,12.00
7/20/1975;3.93;10.85;7/20/1975,3.93,10.85
7/21/1975;3.58;10.27;7/21/1975,3.58,10.27
7/22/1975;5.44;9.60;7/22/1975,5.44,9.60
7/23/1975;3.50;9.01;7/23/1975,3.50,9.01
7/24/1975;2.96;8.72;7/24/1975,2.96,8.72
7/25/1975;2.70;9.70;7/25/1975,2.70,9.70
7/26/1975;2.79;14.78;7/26/1975,2.79,14.78
7/27/1975;2.85;16.99;7/27/1975,2.85,16.99
7/28/1975;4.75;19.30;7/28/1975,4.75,19.30
7/29/1975;4.90;14.98;7/29/1975,4.90,14.98
7/30/1975;14.51;28.51;7/30/1975,14.51,28.51
7/31/1975;3.51;24.38;7/31/1975,3.51,24.38
08/01/1975;10.46;18.34;8/1/1975,10.46,18.34
08/02/1975;7.04;14.98;8/2/1975,7.04,14.98
08/03/1975;16.82;86.78;8/3/1975,16.82,86.78
08/04/1975;19.26;80.64;8/4/1975,19.26,80.64
08/05/1975;14.92;61.34;8/5/1975,14.92,61.34
08/06/1975;14.78;52.99;8/6/1975,14.78,52.99
08/07/1975;14.65;40.22;8/7/1975,14.65,40.22
08/08/1975;8.44;30.82;8/8/1975,8.44,30.82
08/09/1975;6.70;32.74;8/9/1975,6.70,32.74
08/10/1975;5.53;12.86;8/10/1975,5.53,12.86
08/11/1975;4.61;10.85;8/11/1975,4.61,10.85
08/12/1975;5.05;13.44;8/12/1975,5.05,13.44
8/13/1975;7.65;31.78;8/13/1975,7.65,31.78
8/14/1975;7.72;38.59;8/14/1975,7.72,38.59
8/15/1975;7.37;32.16;8/15/1975,7.37,32.16
8/16/1975;6.43;10.08;8/16/1975,6.43,10.08
8/17/1975;5.02;11.81;8/17/1975,5.02,11.81
8/18/1975;11.39;44.54;8/18/1975,11.39,44.54
8/19/1975;10.67;30.82;8/19/1975,10.67,30.82
8/20/1975;6.33;50.21;8/20/1975,6.33,50.21
8/21/1975;5.71;19.20;8/21/1975,5.71,19.20
8/22/1975;5.10;14.98;8/22/1975,5.10,14.98
8/23/1975;3.78;9.31;8/23/1975,3.78,9.31
8/24/1975;7.15;16.22;8/24/1975,7.15,16.22
8/25/1975;10.63;20.83;8/25/1975,10.63,20.83
8/26/1975;9.70;30.14;8/26/1975,9.70,30.14
8/27/1975;6.24;20.16;8/27/1975,6.24,20.16
8/28/1975;5.62;20.54;8/28/1975,5.62,20.54
8/29/1975;17.09;43.30;8/29/1975,17.09,43.30
8/30/1975;15.60;25.73;8/30/1975,15.60,25.73
8/31/1975;7.42;18.82;8/31/1975,7.42,18.82
09/01/1975;5.71;15.84;9/1/1975,5.71,15.84
09/02/1975;4.44;14.98;9/2/1975,4.44,14.98
09/03/1975;3.76;12.58;9/3/1975,3.76,12.58
09/04/1975;3.49;12.86;9/4/1975,3.49,12.86
09/05/1975;4.99;15.84;9/5/1975,4.99,15.84
09/06/1975;8.87;17.76;9/6/1975,8.87,17.76
09/07/1975;13.83;17.28;9/7/1975,13.83,17.28
09/08/1975;9.39;18.82;9/8/1975,9.39,18.82
09/09/1975;12.76;22.08;9/9/1975,12.76,22.08
09/10/1975;12.82;20.64;9/10/1975,12.82,20.64
09/11/1975;10.55;33.79;9/11/1975,10.55,33.79
09/12/1975;13.70;23.52;9/12/1975,13.70,23.52
9/13/1975;8.98;21.60;9/13/1975,8.98,21.60
9/14/1975;6.82;21.79;9/14/1975,6.82,21.79
9/15/1975;8.11;16.13;9/15/1975,8.11,16.13
9/16/1975;7.05;15.17;9/16/1975,7.05,15.17
9/17/1975;6.01;28.90;9/17/1975,6.01,28.90
9/18/1975;5.97;15.36;9/18/1975,5.97,15.36
9/19/1975;4.61;13.06;9/19/1975,4.61,13.06
9/20/1975;3.73;13.44;9/20/1975,3.73,13.44
9/21/1975;3.73;11.62;9/21/1975,3.73,11.62
9/22/1975;5.29;12.96;9/22/1975,5.29,12.96
9/23/1975;6.47;12.38;9/23/1975,6.47,12.38
9/24/1975;4.75;10.37;9/24/1975,4.75,10.37
9/25/1975;3.61;8.31;9/25/1975,3.61,8.31
9/26/1975;3.24;9.36;9/26/1975,3.24,9.36
9/27/1975;3.38;8.68;9/27/1975,3.38,8.68
9/28/1975;3.02;7.39;9/28/1975,3.02,7.39
9/29/1975;4.00;8.33;9/29/1975,4.00,8.33
9/30/1975;4.99;8.48;9/30/1975,4.99,8.48
10/01/1975;4.07;8.65;10/1/1975,4.07,8.65
10/02/1975;3.17;8.83;10/2/1975,3.17,8.83
10/03/1975;4.79;9.98;10/3/1975,4.79,9.98
10/04/1975;3.85;8.82;10/4/1975,3.85,8.82
10/05/1975;3.50;7.74;10/5/1975,3.50,7.74
10/06/1975;3.62;8.96;10/6/1975,3.62,8.96
10/07/1975;3.69;8.52;10/7/1975,3.69,8.52
10/08/1975;3.92;12.48;10/8/1975,3.92,12.48
10/09/1975;5.95;30.53;10/9/1975,5.95,30.53
10/10/1975;7.88;24.19;10/10/1975,7.88,24.19
10/11/1975;11.23;23.90;10/11/1975,11.23,23.90
10/12/1975;5.95;19.30;10/12/1975,5.95,19.30
10/13/1975;4.86;19.49;10/13/1975,4.86,19.49
10/14/1975;4.27;15.94;10/14/1975,4.27,15.94
10/15/1975;4.12;13.73;10/15/1975,4.12,13.73
10/16/1975;5.55;16.90;10/16/1975,5.55,16.90
10/17/1975;6.70;17.28;10/17/1975,6.70,17.28
10/18/1975;6.32;64.13;10/18/1975,6.32,64.13
10/19/1975;8.44;75.84;10/19/1975,8.44,75.84
10/20/1975;5.52;67.97;10/20/1975,5.52,67.97
10/21/1975;4.90;64.99;10/21/1975,4.90,64.99
10/22/1975;4.14;28.22;10/22/1975,4.14,28.22
10/23/1975;3.84;27.17;10/23/1975,3.84,27.17
10/24/1975;3.34;25.15;10/24/1975,3.34,25.15
10/25/1975;3.19;24.77;10/25/1975,3.19,24.77
10/26/1975;9.51;45.70;10/26/1975,9.51,45.70
10/27/1975;15.06;58.37;10/27/1975,15.06,58.37
10/28/1975;7.85;41.38;10/28/1975,7.85,41.38
10/29/1975;13.02;54.24;10/29/1975,13.02,54.24
10/30/1975;15.60;59.14;10/30/1975,15.60,59.14
10/31/1975;20.62;68.74;10/31/1975,20.62,68.74
11/01/1975;12.29;52.90;11/1/1975,12.29,52.90
11/02/1975;8.92;44.45;11/2/1975,8.92,44.45
11/03/1975;9.75;46.27;11/3/1975,9.75,46.27
11/04/1975;8.49;43.20;11/4/1975,8.49,43.20
11/05/1975;7.99;41.38;11/5/1975,7.99,41.38
11/06/1975;22.11;71.81;11/6/1975,22.11,71.81
11/07/1975;19.67;67.20;11/7/1975,19.67,67.20
11/08/1975;14.24;62.02;11/8/1975,14.24,62.02
11/09/1975;21.02;52.90;11/9/1975,21.02,52.90
11/10/1975;13.37;44.45;11/10/1975,13.37,44.45
11/11/1975;10.66;42.53;11/11/1975,10.66,42.53
11/12/1975;11.04;37.82;11/12/1975,11.04,37.82
11/13/1975;9.03;34.94;11/13/1975,9.03,34.94
11/14/1975;11.79;51.55;11/14/1975,11.79,51.55
11/15/1975;21.29;69.50;11/15/1975,21.29,69.50
11/16/1975;20.89;69.50;11/16/1975,20.89,69.50
11/17/1975;10.63;48.19;11/17/1975,10.63,48.19
11/18/1975;8.07;41.95;11/18/1975,8.07,41.95
11/19/1975;6.77;30.72;11/19/1975,6.77,30.72
11/20/1975;6.05;33.31;11/20/1975,6.05,33.31
11/21/1975;8.11;46.94;11/21/1975,8.11,46.94
11/22/1975;6.32;35.52;11/22/1975,6.32,35.52
11/23/1975;10.63;84.10;11/23/1975,10.63,84.10
11/24/1975;16.41;67.97;11/24/1975,16.41,67.97
11/25/1975;10.31;68.74;11/25/1975,10.31,68.74
11/26/1975;13.28;59.81;11/26/1975,13.28,59.81
11/27/1975;10.48;45.02;11/27/1975,10.48,45.02
11/28/1975;7.38;37.82;11/28/1975,7.38,37.82
11/29/1975;7.16;33.31;11/29/1975,7.16,33.31
11/30/1975;6.32;32.26;11/30/1975,6.32,32.26
12/01/1975;8.38;41.38;12/1/1975,8.38,41.38
12/02/1975;9.63;33.89;12/2/1975,9.63,33.89
12/03/1975;6.43;32.83;12/3/1975,6.43,32.83
12/04/1975;5.48;31.20;12/4/1975,5.48,31.20
12/05/1975;4.69;28.13;12/5/1975,4.69,28.13
12/06/1975;26.58;66.43;12/6/1975,26.58,66.43
12/07/1975;24.28;62.69;12/7/1975,24.28,62.69
12/08/1975;23.33;76.61;12/8/1975,23.33,76.61
12/09/1975;23.19;71.81;12/9/1975,23.19,71.81
12/10/1975;13.06;63.46;12/10/1975,13.06,63.46
12/11/1975;11.41;58.37;12/11/1975,11.41,58.37
12/12/1975;51.00;96.96;12/12/1975,51.00,96.96
12/13/1975;94.40;121.92;12/13/1975,94.40,121.92
12/14/1975;101.05;100.80;12/14/1975,101.05,100.80
12/15/1975;35.27;90.05;12/15/1975,35.27,90.05
12/16/1975;17.36;62.69;12/16/1975,17.36,62.69
12/17/1975;12.26;52.90;12/17/1975,12.26,52.90
12/18/1975;9.49;45.70;12/18/1975,9.49,45.70
12/19/1975;8.11;41.95;12/19/1975,8.11,41.95
12/20/1975;6.66;37.25;12/20/1975,6.66,37.25
12/21/1975;5.75;33.98;12/21/1975,5.75,33.98
12/22/1975;5.30;32.83;12/22/1975,5.30,32.83
12/23/1975;4.99;31.78;12/23/1975,4.99,31.78
12/24/1975;4.88;31.78;12/24/1975,4.88,31.78
12/25/1975;4.44;29.66;12/25/1975,4.44,29.66
12/26/1975;4.45;30.14;12/26/1975,4.45,30.14
12/27/1975;3.81;27.65;12/27/1975,3.81,27.65
12/28/1975;3.49;25.63;12/28/1975,3.49,25.63
12/29/1975;3.16;24.29;12/29/1975,3.16,24.29
12/30/1975;3.05;23.81;12/30/1975,3.05,23.81
12/31/1975;2.90;22.85;12/31/1975,2.90,22.85
01/01/1976;2.69;21.12;1/1/1976,2.69,21.12
01/02/1976;2.56;6.70;1/2/1976,2.56,6.70
01/03/1976;2.54;6.60;1/3/1976,2.54,6.60
01/04/1976;2.44;6.38;1/4/1976,2.44,6.38
01/05/1976;2.62;20.74;1/5/1976,2.62,20.74
